ID,Economy,Code,Region,Income group,WBL Report Year,WBL INDEX,MOBILITY,Can a woman apply for a passport in the same way as a man?,Can a woman travel outside the country in the same way as a man?,Can a woman travel outside her home in the same way as a man?,Can a woman choose where to live in the same way as a man?,WORKPLACE,Can a woman get a job in the same way as a man?,Does the law prohibit discrimination in employment based on gender?,Is there legislation on sexual harassment in employment?,Are there criminal penalties or civil remedies for sexual harassment in employment?,PAY,Does the law mandate equal remuneration for work of equal value?,Can women work the same night hours as men?,Can women work in jobs deemed dangerous in the same way as men?,Are women able to work in the same industries as men?,MARRIAGE,Is there no legal provision that requires a married woman to obey her husband?,"Can a woman be ""head of household"" or ""head of family"" in the same way as a man?",Is there legislation specifically addressing domestic violence?,Can a woman obtain a judgment of divorce in the same way as a man?,Does a woman have the same rights to remarry as a man?,PARENTHOOD,Is paid leave of at least 14 weeks available to mothers?,Does the government administer 100% of maternity leave benefits?,Is there paid leave available to fathers?,Is there paid parental leave?,Is dismissal of pregnant workers prohibited?,ENTREPRENEURSHIP,Can a woman sign a contract in the same way as a man?,Can a woman register a business in the same way as a man?,Can a woman open a bank account in the same way as a man?,Does the law prohibit discrimination in access to credit based on gender?,ASSETS,Do men and women have equal ownership rights to immovable property?,Do sons and daughters have equal rights to inherit assets from their parents?,Do female and male surviving spouses have equal rights to inherit assets?,Does the law grant spouses equal administrative authority over assets during marriage?,Does the law provide for the valuation of nonmonetary contributions?,PENSION,Are the ages at which men and women can retire with full pension benefits equal?,Are the ages at which men and women can retire with partial pension benefits equal?,Is the mandatory retirement age for men and women equal?,Are periods of absence from work due to childcare accounted for in pension benefits?
AFG1981,Afghanistan,AFG,South Asia,Low income,1981,26.3,25,No,Yes,No,No,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,0,No,No,No,No,No,75,Yes,Yes,Yes,No,40,Yes,No,No,Yes,No,25,No,No,Yes,No
AFG1982,Afghanistan,AFG,South Asia,Low income,1982,26.3,25,No,Yes,No,No,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,0,No,No,No,No,No,75,Yes,Yes,Yes,No,40,Yes,No,No,Yes,No,25,No,No,Yes,No
AFG1983,Afghanistan,AFG,South Asia,Low income,1983,26.3,25,No,Yes,No,No,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,0,No,No,No,No,No,75,Yes,Yes,Yes,No,40,Yes,No,No,Yes,No,25,No,No,Yes,No
AFG1984,Afghanistan,AFG,South Asia,Low income,1984,26.3,25,No,Yes,No,No,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,0,No,No,No,No,No,75,Yes,Yes,Yes,No,40,Yes,No,No,Yes,No,25,No,No,Yes,No
AFG1985,Afghanistan,AFG,South Asia,Low income,1985,26.3,25,No,Yes,No,No,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,0,No,No,No,No,No,75,Yes,Yes,Yes,No,40,Yes,No,No,Yes,No,25,No,No,Yes,No
AFG1986,Afghanistan,AFG,South Asia,Low income,1986,26.3,25,No,Yes,No,No,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,0,No,No,No,No,No,75,Yes,Yes,Yes,No,40,Yes,No,No,Yes,No,25,No,No,Yes,No
AFG1987,Afghanistan,AFG,South Asia,Low income,1987,26.3,25,No,Yes,No,No,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,0,No,No,No,No,No,75,Yes,Yes,Yes,No,40,Yes,No,No,Yes,No,25,No,No,Yes,No
AFG1988,Afghanistan,AFG,South Asia,Low income,1988,26.3,25,No,Yes,No,No,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,0,No,No,No,No,No,75,Yes,Yes,Yes,No,40,Yes,No,No,Yes,No,25,No,No,Yes,No
AFG1989,Afghanistan,AFG,South Asia,Low income,1989,25.6,25,No,Yes,No,No,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,20,No,No,No,No,Yes,75,Yes,Yes,Yes,No,40,Yes,No,No,Yes,No,0,No,No,No,No
AFG1990,Afghanistan,AFG,South Asia,Low income,1990,25.6,25,No,Yes,No,No,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,20,No,No,No,No,Yes,75,Yes,Yes,Yes,No,40,Yes,No,No,Yes,No,0,No,No,No,No
AFG1991,Afghanistan,AFG,South Asia,Low income,1991,25.6,25,No,Yes,No,No,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,20,No,No,No,No,Yes,75,Yes,Yes,Yes,No,40,Yes,No,No,Yes,No,0,No,No,No,No
AFG1992,Afghanistan,AFG,South Asia,Low income,1992,25.6,25,No,Yes,No,No,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,20,No,No,No,No,Yes,75,Yes,Yes,Yes,No,40,Yes,No,No,Yes,No,0,No,No,No,No
AFG1993,Afghanistan,AFG,South Asia,Low income,1993,25.6,25,No,Yes,No,No,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,20,No,No,No,No,Yes,75,Yes,Yes,Yes,No,40,Yes,No,No,Yes,No,0,No,No,No,No
AFG1994,Afghanistan,AFG,South Asia,Low income,1994,25.6,25,No,Yes,No,No,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,20,No,No,No,No,Yes,75,Yes,Yes,Yes,No,40,Yes,No,No,Yes,No,0,No,No,No,No
AFG1995,Afghanistan,AFG,South Asia,Low income,1995,25.6,25,No,Yes,No,No,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,20,No,No,No,No,Yes,75,Yes,Yes,Yes,No,40,Yes,No,No,Yes,No,0,No,No,No,No
AFG1996,Afghanistan,AFG,South Asia,Low income,1996,25.6,25,No,Yes,No,No,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,20,No,No,No,No,Yes,75,Yes,Yes,Yes,No,40,Yes,No,No,Yes,No,0,No,No,No,No
AFG1997,Afghanistan,AFG,South Asia,Low income,1997,25.6,25,No,Yes,No,No,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,20,No,No,No,No,Yes,75,Yes,Yes,Yes,No,40,Yes,No,No,Yes,No,0,No,No,No,No
AFG1998,Afghanistan,AFG,South Asia,Low income,1998,25.6,25,No,Yes,No,No,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,20,No,No,No,No,Yes,75,Yes,Yes,Yes,No,40,Yes,No,No,Yes,No,0,No,No,No,No
AFG1999,Afghanistan,AFG,South Asia,Low income,1999,25.6,25,No,Yes,No,No,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,20,No,No,No,No,Yes,75,Yes,Yes,Yes,No,40,Yes,No,No,Yes,No,0,No,No,No,No
AFG2000,Afghanistan,AFG,South Asia,Low income,2000,26.3,25,No,Yes,No,No,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,0,No,No,No,No,No,75,Yes,Yes,Yes,No,40,Yes,No,No,Yes,No,25,No,No,Yes,No
AFG2001,Afghanistan,AFG,South Asia,Low income,2001,26.3,25,No,Yes,No,No,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,0,No,No,No,No,No,75,Yes,Yes,Yes,No,40,Yes,No,No,Yes,No,25,No,No,Yes,No
AFG2002,Afghanistan,AFG,South Asia,Low income,2002,26.3,25,No,Yes,No,No,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,0,No,No,No,No,No,75,Yes,Yes,Yes,No,40,Yes,No,No,Yes,No,25,No,No,Yes,No
AFG2003,Afghanistan,AFG,South Asia,Low income,2003,26.3,25,No,Yes,No,No,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,0,No,No,No,No,No,75,Yes,Yes,Yes,No,40,Yes,No,No,Yes,No,25,No,No,Yes,No
AFG2004,Afghanistan,AFG,South Asia,Low income,2004,26.3,25,No,Yes,No,No,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,0,No,No,No,No,No,75,Yes,Yes,Yes,No,40,Yes,No,No,Yes,No,25,No,No,Yes,No
AFG2005,Afghanistan,AFG,South Asia,Low income,2005,26.3,25,No,Yes,No,No,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,0,No,No,No,No,No,75,Yes,Yes,Yes,No,40,Yes,No,No,Yes,No,25,No,No,Yes,No
AFG2006,Afghanistan,AFG,South Asia,Low income,2006,26.3,25,No,Yes,No,No,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,0,No,No,No,No,No,75,Yes,Yes,Yes,No,40,Yes,No,No,Yes,No,25,No,No,Yes,No
AFG2007,Afghanistan,AFG,South Asia,Low income,2007,26.3,25,No,Yes,No,No,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,0,No,No,No,No,No,75,Yes,Yes,Yes,No,40,Yes,No,No,Yes,No,25,No,No,Yes,No
AFG2008,Afghanistan,AFG,South Asia,Low income,2008,28.8,25,No,Yes,No,No,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,20,No,No,Yes,No,No,75,Yes,Yes,Yes,No,40,Yes,No,No,Yes,No,25,No,No,Yes,No
AFG2009,Afghanistan,AFG,South Asia,Low income,2009,28.8,25,No,Yes,No,No,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,20,No,No,Yes,No,No,75,Yes,Yes,Yes,No,40,Yes,No,No,Yes,No,25,No,No,Yes,No
AFG2010,Afghanistan,AFG,South Asia,Low income,2010,28.8,25,No,Yes,No,No,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,20,No,No,Yes,No,No,75,Yes,Yes,Yes,No,40,Yes,No,No,Yes,No,25,No,No,Yes,No
AFG2011,Afghanistan,AFG,South Asia,Low income,2011,28.8,25,No,Yes,No,No,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,20,No,No,Yes,No,No,75,Yes,Yes,Yes,No,40,Yes,No,No,Yes,No,25,No,No,Yes,No
AFG2012,Afghanistan,AFG,South Asia,Low income,2012,28.8,25,No,Yes,No,No,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,20,No,No,Yes,No,No,75,Yes,Yes,Yes,No,40,Yes,No,No,Yes,No,25,No,No,Yes,No
AFG2013,Afghanistan,AFG,South Asia,Low income,2013,28.8,25,No,Yes,No,No,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,20,No,No,Yes,No,No,75,Yes,Yes,Yes,No,40,Yes,No,No,Yes,No,25,No,No,Yes,No
AFG2014,Afghanistan,AFG,South Asia,Low income,2014,28.8,25,No,Yes,No,No,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,20,No,No,Yes,No,No,75,Yes,Yes,Yes,No,40,Yes,No,No,Yes,No,25,No,No,Yes,No
AFG2015,Afghanistan,AFG,South Asia,Low income,2015,28.8,25,No,Yes,No,No,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,20,No,No,Yes,No,No,75,Yes,Yes,Yes,No,40,Yes,No,No,Yes,No,25,No,No,Yes,No
AFG2016,Afghanistan,AFG,South Asia,Low income,2016,28.8,25,No,Yes,No,No,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,20,No,No,Yes,No,No,75,Yes,Yes,Yes,No,40,Yes,No,No,Yes,No,25,No,No,Yes,No
AFG2017,Afghanistan,AFG,South Asia,Low income,2017,38.1,50,Yes,Yes,No,No,75,Yes,No,Yes,Yes,0,No,No,No,No,20,No,Yes,No,No,No,20,No,No,Yes,No,No,75,Yes,Yes,Yes,No,40,Yes,No,No,Yes,No,25,No,No,Yes,No
AFG2018,Afghanistan,AFG,South Asia,Low income,2018,38.1,50,Yes,Yes,No,No,75,Yes,No,Yes,Yes,0,No,No,No,No,20,No,Yes,No,No,No,20,No,No,Yes,No,No,75,Yes,Yes,Yes,No,40,Yes,No,No,Yes,No,25,No,No,Yes,No
AFG2019,Afghanistan,AFG,South Asia,Low income,2019,38.1,50,Yes,Yes,No,No,75,Yes,No,Yes,Yes,0,No,No,No,No,20,No,Yes,No,No,No,20,No,No,Yes,No,No,75,Yes,Yes,Yes,No,40,Yes,No,No,Yes,No,25,No,No,Yes,No
AFG2020,Afghanistan,AFG,South Asia,Low income,2020,38.1,50,Yes,Yes,No,No,75,Yes,No,Yes,Yes,0,No,No,No,No,20,No,Yes,No,No,No,20,No,No,Yes,No,No,75,Yes,Yes,Yes,No,40,Yes,No,No,Yes,No,25,No,No,Yes,No
AGO1971,Angola,AGO,Sub-Saharan Africa,Lower middle income,1971,30.6,75,Yes,Yes,Yes,No,0,No,No,No,No,25,No,Yes,No,No,40,Yes,No,No,Yes,No,0,No,No,No,No,No,0,No,No,No,No,80,No,Yes,Yes,Yes,Yes,25,No,No,Yes,No
AGO1972,Angola,AGO,Sub-Saharan Africa,Lower middle income,1972,30.6,75,Yes,Yes,Yes,No,0,No,No,No,No,25,No,Yes,No,No,40,Yes,No,No,Yes,No,0,No,No,No,No,No,0,No,No,No,No,80,No,Yes,Yes,Yes,Yes,25,No,No,Yes,No
AGO1973,Angola,AGO,Sub-Saharan Africa,Lower middle income,1973,30.6,75,Yes,Yes,Yes,No,0,No,No,No,No,25,No,Yes,No,No,40,Yes,No,No,Yes,No,0,No,No,No,No,No,0,No,No,No,No,80,No,Yes,Yes,Yes,Yes,25,No,No,Yes,No
AGO1974,Angola,AGO,Sub-Saharan Africa,Lower middle income,1974,30.6,75,Yes,Yes,Yes,No,0,No,No,No,No,25,No,Yes,No,No,40,Yes,No,No,Yes,No,0,No,No,No,No,No,0,No,No,No,No,80,No,Yes,Yes,Yes,Yes,25,No,No,Yes,No
AGO1975,Angola,AGO,Sub-Saharan Africa,Lower middle income,1975,30.6,75,Yes,Yes,Yes,No,0,No,No,No,No,25,No,Yes,No,No,40,Yes,No,No,Yes,No,0,No,No,No,No,No,0,No,No,No,No,80,No,Yes,Yes,Yes,Yes,25,No,No,Yes,No
AGO1976,Angola,AGO,Sub-Saharan Africa,Lower middle income,1976,30.6,75,Yes,Yes,Yes,No,0,No,No,No,No,25,No,Yes,No,No,40,Yes,No,No,Yes,No,0,No,No,No,No,No,0,No,No,No,No,80,No,Yes,Yes,Yes,Yes,25,No,No,Yes,No
AGO1977,Angola,AGO,Sub-Saharan Africa,Lower middle income,1977,30.6,75,Yes,Yes,Yes,No,0,No,No,No,No,25,No,Yes,No,No,40,Yes,No,No,Yes,No,0,No,No,No,No,No,0,No,No,No,No,80,No,Yes,Yes,Yes,Yes,25,No,No,Yes,No
AGO1978,Angola,AGO,Sub-Saharan Africa,Lower middle income,1978,30.6,75,Yes,Yes,Yes,No,0,No,No,No,No,25,No,Yes,No,No,40,Yes,No,No,Yes,No,0,No,No,No,No,No,0,No,No,No,No,80,No,Yes,Yes,Yes,Yes,25,No,No,Yes,No
AGO1979,Angola,AGO,Sub-Saharan Africa,Lower middle income,1979,30.6,75,Yes,Yes,Yes,No,0,No,No,No,No,25,No,Yes,No,No,40,Yes,No,No,Yes,No,0,No,No,No,No,No,0,No,No,No,No,80,No,Yes,Yes,Yes,Yes,25,No,No,Yes,No
AGO1980,Angola,AGO,Sub-Saharan Africa,Lower middle income,1980,30.6,75,Yes,Yes,Yes,No,0,No,No,No,No,25,No,Yes,No,No,40,Yes,No,No,Yes,No,0,No,No,No,No,No,0,No,No,No,No,80,No,Yes,Yes,Yes,Yes,25,No,No,Yes,No
AGO1981,Angola,AGO,Sub-Saharan Africa,Lower middle income,1981,30.6,75,Yes,Yes,Yes,No,0,No,No,No,No,25,No,Yes,No,No,40,Yes,No,No,Yes,No,0,No,No,No,No,No,0,No,No,No,No,80,No,Yes,Yes,Yes,Yes,25,No,No,Yes,No
AGO1982,Angola,AGO,Sub-Saharan Africa,Lower middle income,1982,30.6,75,Yes,Yes,Yes,No,0,No,No,No,No,25,No,Yes,No,No,40,Yes,No,No,Yes,No,0,No,No,No,No,No,0,No,No,No,No,80,No,Yes,Yes,Yes,Yes,25,No,No,Yes,No
AGO1983,Angola,AGO,Sub-Saharan Africa,Lower middle income,1983,33.1,75,Yes,Yes,Yes,No,0,No,No,No,No,25,No,Yes,No,No,40,Yes,No,No,Yes,No,20,No,No,No,No,Yes,0,No,No,No,No,80,No,Yes,Yes,Yes,Yes,25,No,No,Yes,No
AGO1984,Angola,AGO,Sub-Saharan Africa,Lower middle income,1984,33.1,75,Yes,Yes,Yes,No,0,No,No,No,No,25,No,Yes,No,No,40,Yes,No,No,Yes,No,20,No,No,No,No,Yes,0,No,No,No,No,80,No,Yes,Yes,Yes,Yes,25,No,No,Yes,No
AGO1985,Angola,AGO,Sub-Saharan Africa,Lower middle income,1985,33.1,75,Yes,Yes,Yes,No,0,No,No,No,No,25,No,Yes,No,No,40,Yes,No,No,Yes,No,20,No,No,No,No,Yes,0,No,No,No,No,80,No,Yes,Yes,Yes,Yes,25,No,No,Yes,No
AGO1986,Angola,AGO,Sub-Saharan Africa,Lower middle income,1986,33.1,75,Yes,Yes,Yes,No,0,No,No,No,No,25,No,Yes,No,No,40,Yes,No,No,Yes,No,20,No,No,No,No,Yes,0,No,No,No,No,80,No,Yes,Yes,Yes,Yes,25,No,No,Yes,No
AGO1987,Angola,AGO,Sub-Saharan Africa,Lower middle income,1987,33.1,75,Yes,Yes,Yes,No,0,No,No,No,No,25,No,Yes,No,No,40,Yes,No,No,Yes,No,20,No,No,No,No,Yes,0,No,No,No,No,80,No,Yes,Yes,Yes,Yes,25,No,No,Yes,No
AGO1988,Angola,AGO,Sub-Saharan Africa,Lower middle income,1988,33.1,75,Yes,Yes,Yes,No,0,No,No,No,No,25,No,Yes,No,No,40,Yes,No,No,Yes,No,20,No,No,No,No,Yes,0,No,No,No,No,80,No,Yes,Yes,Yes,Yes,25,No,No,Yes,No
AGO1989,Angola,AGO,Sub-Saharan Africa,Lower middle income,1989,56.3,100,Yes,Yes,Yes,Yes,25,Yes,No,No,No,25,No,Yes,No,No,80,Yes,Yes,No,Yes,Yes,20,No,No,No,No,Yes,75,Yes,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,25,No,No,Yes,No
AGO1990,Angola,AGO,Sub-Saharan Africa,Lower middle income,1990,56.3,100,Yes,Yes,Yes,Yes,25,Yes,No,No,No,25,No,Yes,No,No,80,Yes,Yes,No,Yes,Yes,20,No,No,No,No,Yes,75,Yes,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,25,No,No,Yes,No
AGO1991,Angola,AGO,Sub-Saharan Africa,Lower middle income,1991,56.3,100,Yes,Yes,Yes,Yes,25,Yes,No,No,No,25,No,Yes,No,No,80,Yes,Yes,No,Yes,Yes,20,No,No,No,No,Yes,75,Yes,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,25,No,No,Yes,No
AGO1992,Angola,AGO,Sub-Saharan Africa,Lower middle income,1992,56.3,100,Yes,Yes,Yes,Yes,25,Yes,No,No,No,25,No,Yes,No,No,80,Yes,Yes,No,Yes,Yes,20,No,No,No,No,Yes,75,Yes,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,25,No,No,Yes,No
AGO1993,Angola,AGO,Sub-Saharan Africa,Lower middle income,1993,56.3,100,Yes,Yes,Yes,Yes,25,Yes,No,No,No,25,No,Yes,No,No,80,Yes,Yes,No,Yes,Yes,20,No,No,No,No,Yes,75,Yes,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,25,No,No,Yes,No
AGO1994,Angola,AGO,Sub-Saharan Africa,Lower middle income,1994,56.3,100,Yes,Yes,Yes,Yes,25,Yes,No,No,No,25,No,Yes,No,No,80,Yes,Yes,No,Yes,Yes,20,No,No,No,No,Yes,75,Yes,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,25,No,No,Yes,No
AGO1995,Angola,AGO,Sub-Saharan Africa,Lower middle income,1995,56.3,100,Yes,Yes,Yes,Yes,25,Yes,No,No,No,25,No,Yes,No,No,80,Yes,Yes,No,Yes,Yes,20,No,No,No,No,Yes,75,Yes,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,25,No,No,Yes,No
AGO1996,Angola,AGO,Sub-Saharan Africa,Lower middle income,1996,56.3,100,Yes,Yes,Yes,Yes,25,Yes,No,No,No,25,No,Yes,No,No,80,Yes,Yes,No,Yes,Yes,20,No,No,No,No,Yes,75,Yes,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,25,No,No,Yes,No
AGO1997,Angola,AGO,Sub-Saharan Africa,Lower middle income,1997,56.3,100,Yes,Yes,Yes,Yes,25,Yes,No,No,No,25,No,Yes,No,No,80,Yes,Yes,No,Yes,Yes,20,No,No,No,No,Yes,75,Yes,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,25,No,No,Yes,No
AGO1998,Angola,AGO,Sub-Saharan Africa,Lower middle income,1998,56.3,100,Yes,Yes,Yes,Yes,25,Yes,No,No,No,25,No,Yes,No,No,80,Yes,Yes,No,Yes,Yes,20,No,No,No,No,Yes,75,Yes,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,25,No,No,Yes,No
AGO1999,Angola,AGO,Sub-Saharan Africa,Lower middle income,1999,56.3,100,Yes,Yes,Yes,Yes,25,Yes,No,No,No,25,No,Yes,No,No,80,Yes,Yes,No,Yes,Yes,20,No,No,No,No,Yes,75,Yes,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,25,No,No,Yes,No
AGO2000,Angola,AGO,Sub-Saharan Africa,Lower middle income,2000,56.3,100,Yes,Yes,Yes,Yes,25,Yes,No,No,No,25,No,Yes,No,No,80,Yes,Yes,No,Yes,Yes,20,No,No,No,No,Yes,75,Yes,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,25,No,No,Yes,No
AGO2001,Angola,AGO,Sub-Saharan Africa,Lower middle income,2001,62.5,100,Yes,Yes,Yes,Yes,50,Yes,Yes,No,No,50,Yes,Yes,No,No,80,Yes,Yes,No,Yes,Yes,20,No,No,No,No,Yes,75,Yes,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,25,No,No,Yes,No
AGO2002,Angola,AGO,Sub-Saharan Africa,Lower middle income,2002,62.5,100,Yes,Yes,Yes,Yes,50,Yes,Yes,No,No,50,Yes,Yes,No,No,80,Yes,Yes,No,Yes,Yes,20,No,No,No,No,Yes,75,Yes,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,25,No,No,Yes,No
AGO2003,Angola,AGO,Sub-Saharan Africa,Lower middle income,2003,62.5,100,Yes,Yes,Yes,Yes,50,Yes,Yes,No,No,50,Yes,Yes,No,No,80,Yes,Yes,No,Yes,Yes,20,No,No,No,No,Yes,75,Yes,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,25,No,No,Yes,No
AGO2004,Angola,AGO,Sub-Saharan Africa,Lower middle income,2004,62.5,100,Yes,Yes,Yes,Yes,50,Yes,Yes,No,No,50,Yes,Yes,No,No,80,Yes,Yes,No,Yes,Yes,20,No,No,No,No,Yes,75,Yes,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,25,No,No,Yes,No
